"id","business_id","rating"
1,"nvuw2UgZV-Y-WEmHOaLRkg",4.7619
2,"gEAB85-Zcm8Qs5JQPC_PHg",4.7269
3,"nUUYvBafHYH-O4Pht6lgsw",4.4804
4,"_CIodPGuvPP2khYkDk1jKw",4.4762
5,"DAIBZ-I6i5wEUsxEolzXBA",4.4545
6,"plrLdKQvnyWlDvQ3kFSqwQ",4.4348
7,"iKaYffwMocwIAMOU_Hj8eA",4.3797
8,"-7smFzvh2E2fOOYs-0Dl8w",4.375
9,"ukTwFX4wQW4FbQbnWI9aJg",4.3704
10,"4V3_98M4SexonrOpE4Xm0A",4.3492
11,"18oecrR4bf-ctLvVGEaSLg",4.3182
12,"iPxUYvC8tgt5rBr-IZlSeg",4.3167
13,"C9JmR3jZfGnW6xbPMCT3aQ",4.3103
14,"-B3bkPTP8jyAs266Dk7VvA",4.3095
15,"eZyqa81qS0LuH0Bv8vfvrw",4.28
16,"WAqACt7FfSFcJs-gqysIlQ",4.28
17,"zht8__JJoxkozBhf_vuKYg",4.2647
18,"1OA1jo0GlK9sf68f00w8ZQ",4.2587
19,"Nc2TtVj6py6dHH_XdWAKRQ",4.25
20,"DScAYRPPKaqt1NBkCbibHg",4.2333
21,"3Q7vtF_cdHGyp2JOlKcu-Q",4.2297
22,"2voFtcyopB3jJHepouMWDQ",4.225
23,"IT65TI-FZ-aTeRybXRoOrg",4.2222
24,"eIxSLxzIlfExI6vgAbn2JA",4.219
25,"ihMUU9D2mcgrp7fi8lmqJg",4.2162
26,"lp-J_cO5owuMzGJqdn3PNg",4.2059
27,"j-_jKQ-5IE4hqQzA-hsApw",4.1636
28,"yTFdhqH9eLzaP05xXQa2rw",4.1563
29,"cRwNwAGQ8Pc_-orLefrwRw",4.1552
30,"X6mWr96ibKdXQSA6mpH90g",4.1493
31,"MpMkOGrzCEGrO0-8yoib2w",4.1481
32,"5fu41tfqTU_LONb95t1Dkg",4.1478
33,"WjOz_BVfAkunjIA2yTthyg",4.0952
34,"fVVpTBLOHZDH4AIACjO4kg",4.0882
35,"yyahaWDdm1Hes99IZkSJPg",4.0811
36,"ff_QnODW0vqNWZPSTVQTsQ",4.0769
37,"pQPIaCWok_yVzY-0JvfURQ",4.0741
38,"5nddZwZzT7pvC5vBjKRzoA",4.0625
39,"x3R9cU8RCFhxQdL1SPNhZw",4.0612
40,"Pectv4bzzUVs0FQ6HQjW8g",4.0488
41,"Q777p0iKcL-3k1171OW1TA",4.0455
42,"DtFfUpwTeNkRW1dTVySavg",4.04
43,"WjT_DJivd3I98FxDgEZpTQ",4.037
44,"byFWmwlVSmUj-AmM6NZYvw",4.0328
45,"g9jX2oXQr8zrOQgynYnYjQ",4.0093
46,"uFwC7N9APy8oTjhda3p9lw",4
47,"n-iA7O3vKAgCMk3Caf2Syw",4
48,"1zaHqoc7FyzQW3idhf4q2A",4
49,"Rr233WRnykn1j-qU9KOzCg",3.988
50,"-NOet8xJLGhX-eUzSIDc2Q",3.9836
51,"-p-9eBYvts8tcalo5IWOKw",3.9815
52,"6TWRuHn24DL6vnW8Uyu4Vw",3.98
53,"-cy8EpdXs44iT3FR4En0QA",3.9524
54,"EzwpoKQrHgDHwpuCUw074Q",3.9512
55,"SM3EGMqG1MN1kYVGIXLx4Q",3.95
56,"Y_Y91oeUrIwYa18F8ey5NQ",3.9406
57,"X-dpycbo5fy8AyoHCUCryA",3.9242
58,"xM5F0cLAlKWoB8rOgt5ZOw",3.9184
59,"SaIX7eay0vV-FxGPqTk1yA",3.8947
60,"cWBqZThx4RWNzPJbJ_oXOg",3.8889
61,"R2IWbpUgJQ3NRRjKQy6O_Q",3.8889
62,"cXykQLP4Sr3tNii8k-zckg",3.8889
63,"QJ4iodv1xkUYBSZ9y1MWVg",3.8696
64,"VeMcG5cMG2i1ziUVwQHaVQ",3.8696
65,"Me6hKl5pjH2KCuxLZm6pzQ",3.8649
66,"6pd0Z40VifMh6ETJrOw_0g",3.8571
67,"dec2TzjQ1skgmugHKJyLwQ",3.8542
68,"aCwCa7QMycZInFChAGU9pQ",3.84
69,"nRzZac3LVgANpKPkDs4LSQ",3.8333
70,"XiCnbGY6R92Ji7r38jceZA",3.8222
71,"PSIoHJpLPnkoH78iYRk6vQ",3.8182
72,"M6SQ1dITqcuj-sAvg8_ITg",3.8148
73,"tYlwIZWPEQFvU9avTaIv3w",3.8148
74,"Cv4kZH9zN0wpN2Drn0qkLg",3.8077
75,"JGTPb06Ix_v7uq3HADzq8w",3.7941
76,"ivVVCPUm9mmU6K7xR41vEg",3.7931
77,"iAe55bO88EwBiPL2GhwBew",3.7647
78,"638KbE3REls3O3bbOPLnUA",3.76
79,"UCjtaUCtJPbTUouHtQURvQ",3.7593
80,"LSElCCmJQNJDpIEf77NVpA",3.7586
81,"78dfzUUVUeFpcYKqvs_X1w",3.7308
82,"mTc8M-drs2HSG8paNUTTQg",3.7273
83,"jqZKv-7F54guDLalXEjHxg",3.7262
84,"LaRo1F0bOEZo4p11bfkshA",3.7241
85,"yqTromUJgF6Ll7VVo4iF0A",3.7234
86,"k-I2IJrEFAikJMqfzXUl8g",3.7234
87,"Zw4CvOwXJj1QA85SvB99Hw",3.6977
88,"1_43FZHx3P5D7X-CpIR9WA",3.6939
89,"XJc9Ueb3avGpYaj5Ll92hg",3.6923
90,"6SWknDhTfrw3NyywMCyZJg",3.6905
91,"LYLGCIqNQQrpMwOxJ1hlrg",3.6818
92,"w7SrsFV4FL04bhQr-B6-4w",3.6702
93,"WcGTSRku3mrVK7V9GKq4UQ",3.6667
94,"rB1CNenQbYtQ0D6sqoJe3A",3.6667
